Name,Link,Subcategory
De Motu Antiquiora,https://en.wikipedia.org/wiki/De_Motu_Antiquiora,Physics literature
Einstein's Blackboard,https://en.wikipedia.org/wiki/Einstein%27s_Blackboard,Physics literature
The Principles of Quantum Mechanics,https://en.wikipedia.org/wiki/The_Principles_of_Quantum_Mechanics,Physics literature
Sponsoring Consortium for Open Access Publishing in Particle Physics,https://en.wikipedia.org/wiki/Sponsoring_Consortium_for_Open_Access_Publishing_in_Particle_Physics,Physics literature
There's Plenty of Room at the Bottom,https://en.wikipedia.org/wiki/There%27s_Plenty_of_Room_at_the_Bottom,Physics literature
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Physics organizations
American Association of Physicists in Medicine,https://en.wikipedia.org/wiki/American_Association_of_Physicists_in_Medicine,Physics organizations
American Association of Physics Teachers,https://en.wikipedia.org/wiki/American_Association_of_Physics_Teachers,Physics organizations
American Institute of Physics,https://en.wikipedia.org/wiki/American_Institute_of_Physics,Physics organizations
American Vacuum Society,https://en.wikipedia.org/wiki/American_Vacuum_Society,Physics organizations
Aspera European Astroparticle network,https://en.wikipedia.org/wiki/Aspera_European_Astroparticle_network,Physics organizations
Breakthrough Prize in Fundamental Physics,https://en.wikipedia.org/wiki/Breakthrough_Prize_in_Fundamental_Physics,Physics organizations
CESRA,https://en.wikipedia.org/wiki/CESRA,Physics organizations
European Solar Physics Division,https://en.wikipedia.org/wiki/European_Solar_Physics_Division,Physics organizations
Fazia,https://en.wikipedia.org/wiki/Fazia,Physics organizations
Foundational Questions Institute,https://en.wikipedia.org/wiki/Foundational_Questions_Institute,Physics organizations
Gravitational Wave International Committee,https://en.wikipedia.org/wiki/Gravitational_Wave_International_Committee,Physics organizations
Health Physics Society,https://en.wikipedia.org/wiki/Health_Physics_Society,Physics organizations
High Energy Physics Advisory Panel,https://en.wikipedia.org/wiki/High_Energy_Physics_Advisory_Panel,Physics organizations
HITRAP,https://en.wikipedia.org/wiki/HITRAP,Physics organizations
Indian Physical Society,https://en.wikipedia.org/wiki/Indian_Physical_Society,Physics organizations
International Association of Mathematical Physics,https://en.wikipedia.org/wiki/International_Association_of_Mathematical_Physics,Physics organizations
International Association of Physics Students,https://en.wikipedia.org/wiki/International_Association_of_Physics_Students,Physics organizations
International Centre for Theoretical Physics,https://en.wikipedia.org/wiki/International_Centre_for_Theoretical_Physics,Physics organizations
International Union of Pure and Applied Physics,https://en.wikipedia.org/wiki/International_Union_of_Pure_and_Applied_Physics,Physics organizations
International Young Physicists' Tournament,https://en.wikipedia.org/wiki/International_Young_Physicists%27_Tournament,Physics organizations
Irish Association of Physicists in Medicine,https://en.wikipedia.org/wiki/Irish_Association_of_Physicists_in_Medicine,Physics organizations
Italian Physical Society,https://en.wikipedia.org/wiki/Italian_Physical_Society,Physics organizations
IUPAC/IUPAP Joint Working Party,https://en.wikipedia.org/wiki/IUPAC/IUPAP_Joint_Working_Party,Physics organizations
Japan Society of Applied Physics,https://en.wikipedia.org/wiki/Japan_Society_of_Applied_Physics,Physics organizations
Malaysian Physics Institute,https://en.wikipedia.org/wiki/Malaysian_Physics_Institute,Physics organizations
Mediterranean Institute of Fundamental Physics,https://en.wikipedia.org/wiki/Mediterranean_Institute_of_Fundamental_Physics,Physics organizations
Midwestern Universities Research Association,https://en.wikipedia.org/wiki/Midwestern_Universities_Research_Association,Physics organizations
Moore Center for Theoretical Cosmology and Physics,https://en.wikipedia.org/wiki/Moore_Center_for_Theoretical_Cosmology_and_Physics,Physics organizations
National Society of Black Physicists,https://en.wikipedia.org/wiki/National_Society_of_Black_Physicists,Physics organizations
National Society of Hispanic Physicists,https://en.wikipedia.org/wiki/National_Society_of_Hispanic_Physicists,Physics organizations
Particle Physics Project Prioritization Panel,https://en.wikipedia.org/wiki/Particle_Physics_Project_Prioritization_Panel,Physics organizations
Physical Society of Japan,https://en.wikipedia.org/wiki/Physical_Society_of_Japan,Physics organizations
Physics Instructional Resource Association,https://en.wikipedia.org/wiki/Physics_Instructional_Resource_Association,Physics organizations
POISK Centre,https://en.wikipedia.org/wiki/POISK_Centre,Physics organizations
Potsdam Denkschrift,https://en.wikipedia.org/wiki/Potsdam_Denkschrift,Physics organizations
Solar Physics Division,https://en.wikipedia.org/wiki/Solar_Physics_Division,Physics organizations
Sponsoring Consortium for Open Access Publishing in Particle Physics,https://en.wikipedia.org/wiki/Sponsoring_Consortium_for_Open_Access_Publishing_in_Particle_Physics,Physics organizations
Swiss Physical Society,https://en.wikipedia.org/wiki/Swiss_Physical_Society,Physics organizations
Ukrainian Physicists' Tournament for University Students,https://en.wikipedia.org/wiki/Ukrainian_Physicists%27_Tournament_for_University_Students,Physics organizations
United States Invitational Young Physicists Tournament,https://en.wikipedia.org/wiki/United_States_Invitational_Young_Physicists_Tournament,Physics organizations
Zhejiang Institute of Modern Physics,https://en.wikipedia.org/wiki/Zhejiang_Institute_of_Modern_Physics,Physics organizations
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Physical phenomena
Aharonov–Bohm effect,https://en.wikipedia.org/wiki/Aharonov%E2%80%93Bohm_effect,Physical phenomena
Aharonov–Casher effect,https://en.wikipedia.org/wiki/Aharonov%E2%80%93Casher_effect,Physical phenomena
Andreev reflection,https://en.wikipedia.org/wiki/Andreev_reflection,Physical phenomena
Askaryan radiation,https://en.wikipedia.org/wiki/Askaryan_radiation,Physical phenomena
Biefeld–Brown effect,https://en.wikipedia.org/wiki/Biefeld%E2%80%93Brown_effect,Physical phenomena
Breath-figure self-assembly,https://en.wikipedia.org/wiki/Breath-figure_self-assembly,Physical phenomena
Bubble fusion,https://en.wikipedia.org/wiki/Bubble_fusion,Physical phenomena
Buttered toast phenomenon,https://en.wikipedia.org/wiki/Buttered_toast_phenomenon,Physical phenomena
Butterfly effect,https://en.wikipedia.org/wiki/Butterfly_effect,Physical phenomena
Casimir effect,https://en.wikipedia.org/wiki/Casimir_effect,Physical phenomena
Casimir pressure,https://en.wikipedia.org/wiki/Casimir_pressure,Physical phenomena
Cavitation,https://en.wikipedia.org/wiki/Cavitation,Physical phenomena
Coandă effect,https://en.wikipedia.org/wiki/Coand%C4%83_effect,Physical phenomena
Coffee ring effect,https://en.wikipedia.org/wiki/Coffee_ring_effect,Physical phenomena
Condensation cloud,https://en.wikipedia.org/wiki/Condensation_cloud,Physical phenomena
Coriolis force,https://en.wikipedia.org/wiki/Coriolis_force,Physical phenomena
Doppler broadening,https://en.wikipedia.org/wiki/Doppler_broadening,Physical phenomena
Droplet cluster,https://en.wikipedia.org/wiki/Droplet_cluster,Physical phenomena
Dynamic scaling,https://en.wikipedia.org/wiki/Dynamic_scaling,Physical phenomena
Hanle effect,https://en.wikipedia.org/wiki/Hanle_effect,Physical phenomena
Kondo effect,https://en.wikipedia.org/wiki/Kondo_effect,Physical phenomena
Latent heat,https://en.wikipedia.org/wiki/Latent_heat,Physical phenomena
Leidenfrost effect,https://en.wikipedia.org/wiki/Leidenfrost_effect,Physical phenomena
Liquid slugging,https://en.wikipedia.org/wiki/Liquid_slugging,Physical phenomena
Marangoni effect,https://en.wikipedia.org/wiki/Marangoni_effect,Physical phenomena
Mössbauer effect,https://en.wikipedia.org/wiki/M%C3%B6ssbauer_effect,Physical phenomena
Mpemba effect,https://en.wikipedia.org/wiki/Mpemba_effect,Physical phenomena
Photophoresis,https://en.wikipedia.org/wiki/Photophoresis,Physical phenomena
Piston effect,https://en.wikipedia.org/wiki/Piston_effect,Physical phenomena
Pouillet effect,https://en.wikipedia.org/wiki/Pouillet_effect,Physical phenomena
Prandtl–Glauert singularity,https://en.wikipedia.org/wiki/Prandtl%E2%80%93Glauert_singularity,Physical phenomena
Radiation trapping,https://en.wikipedia.org/wiki/Radiation_trapping,Physical phenomena
Ramsauer–Townsend effect,https://en.wikipedia.org/wiki/Ramsauer%E2%80%93Townsend_effect,Physical phenomena
Revolving rivers,https://en.wikipedia.org/wiki/Revolving_rivers,Physical phenomena
Shock diamond,https://en.wikipedia.org/wiki/Shock_diamond,Physical phenomena
Shower-curtain effect,https://en.wikipedia.org/wiki/Shower-curtain_effect,Physical phenomena
Singing sand,https://en.wikipedia.org/wiki/Singing_sand,Physical phenomena
Sonochemistry,https://en.wikipedia.org/wiki/Sonochemistry,Physical phenomena
Sonoluminescence,https://en.wikipedia.org/wiki/Sonoluminescence,Physical phenomena
Stark effect,https://en.wikipedia.org/wiki/Stark_effect,Physical phenomena
Thermo-dielectric effect,https://en.wikipedia.org/wiki/Thermo-dielectric_effect,Physical phenomena
Thermoelectric effect,https://en.wikipedia.org/wiki/Thermoelectric_effect,Physical phenomena
Ultraviolet catastrophe,https://en.wikipedia.org/wiki/Ultraviolet_catastrophe,Physical phenomena
Upstream contamination,https://en.wikipedia.org/wiki/Upstream_contamination,Physical phenomena
Water hammer,https://en.wikipedia.org/wiki/Water_hammer,Physical phenomena
Wigner effect,https://en.wikipedia.org/wiki/Wigner_effect,Physical phenomena
Zeeman energy,https://en.wikipedia.org/wiki/Zeeman_energy,Physical phenomena
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Physical properties
Durability,https://en.wikipedia.org/wiki/Durability,Physical properties
Physical change,https://en.wikipedia.org/wiki/Physical_change,Physical properties
Power density,https://en.wikipedia.org/wiki/Power_density,Physical properties
Residual stress,https://en.wikipedia.org/wiki/Residual_stress,Physical properties
Rot-proof,https://en.wikipedia.org/wiki/Rot-proof,Physical properties
Rustproofing,https://en.wikipedia.org/wiki/Rustproofing,Physical properties
Toughness,https://en.wikipedia.org/wiki/Toughness,Physical properties
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Physical quantities
Category:Physical quantities,https://en.wikipedia.org/w/index.php?title=Category:Physical_quantities&pagefrom=Specific+Gravity%0ASpecific+gravity#mw-pages,Physical quantities
ANSI/ASA S1.1-2013,https://en.wikipedia.org/wiki/ANSI/ASA_S1.1-2013,Physical quantities
International System of Quantities,https://en.wikipedia.org/wiki/International_System_of_Quantities,Physical quantities
ISO 31,https://en.wikipedia.org/wiki/ISO_31,Physical quantities
ISO/IEC 80000,https://en.wikipedia.org/wiki/ISO/IEC_80000,Physical quantities
List of physical quantities,https://en.wikipedia.org/wiki/List_of_physical_quantities,Physical quantities
Physical quantity,https://en.wikipedia.org/wiki/Physical_quantity,Physical quantities
Quantity calculus,https://en.wikipedia.org/wiki/Quantity_calculus,Physical quantities
Absorbed dose,https://en.wikipedia.org/wiki/Absorbed_dose,Physical quantities
Absorptance,https://en.wikipedia.org/wiki/Absorptance,Physical quantities
Acceleration,https://en.wikipedia.org/wiki/Acceleration,Physical quantities
Acoustic impedance,https://en.wikipedia.org/wiki/Acoustic_impedance,Physical quantities
Admittance,https://en.wikipedia.org/wiki/Admittance,Physical quantities
Aggregate modulus,https://en.wikipedia.org/wiki/Aggregate_modulus,Physical quantities
Amplitude,https://en.wikipedia.org/wiki/Amplitude,Physical quantities
Angular acceleration,https://en.wikipedia.org/wiki/Angular_acceleration,Physical quantities
Angular diameter distance,https://en.wikipedia.org/wiki/Angular_diameter_distance,Physical quantities
Angular frequency,https://en.wikipedia.org/wiki/Angular_frequency,Physical quantities
Angular momentum,https://en.wikipedia.org/wiki/Angular_momentum,Physical quantities
Angular velocity,https://en.wikipedia.org/wiki/Angular_velocity,Physical quantities
API gravity,https://en.wikipedia.org/wiki/API_gravity,Physical quantities
Areal velocity,https://en.wikipedia.org/wiki/Areal_velocity,Physical quantities
Attenuation coefficient,https://en.wikipedia.org/wiki/Attenuation_coefficient,Physical quantities
Audio frequency,https://en.wikipedia.org/wiki/Audio_frequency,Physical quantities
Bollard pull,https://en.wikipedia.org/wiki/Bollard_pull,Physical quantities
Bulk modulus,https://en.wikipedia.org/wiki/Bulk_modulus,Physical quantities
Capacitance,https://en.wikipedia.org/wiki/Capacitance,Physical quantities
Carcel,https://en.wikipedia.org/wiki/Carcel,Physical quantities
Characteristic admittance,https://en.wikipedia.org/wiki/Characteristic_admittance,Physical quantities
Characteristic property,https://en.wikipedia.org/wiki/Characteristic_property,Physical quantities
Charge (physics),https://en.wikipedia.org/wiki/Charge_(physics),Physical quantities
Circular dichroism,https://en.wikipedia.org/wiki/Circular_dichroism,Physical quantities
Coercivity,https://en.wikipedia.org/wiki/Coercivity,Physical quantities
Cohesion (chemistry),https://en.wikipedia.org/wiki/Cohesion_(chemistry),Physical quantities
Colorimetry,https://en.wikipedia.org/wiki/Colorimetry,Physical quantities
Comoving and proper distances,https://en.wikipedia.org/wiki/Comoving_and_proper_distances,Physical quantities
Conductance quantum,https://en.wikipedia.org/wiki/Conductance_quantum,Physical quantities
Couple (mechanics),https://en.wikipedia.org/wiki/Couple_(mechanics),Physical quantities
Crystallinity,https://en.wikipedia.org/wiki/Crystallinity,Physical quantities
Cusec,https://en.wikipedia.org/wiki/Cusec,Physical quantities
Defining equation (physics),https://en.wikipedia.org/wiki/Defining_equation_(physics),Physical quantities
Delta-v (physics),https://en.wikipedia.org/wiki/Delta-v_(physics),Physical quantities
Density,https://en.wikipedia.org/wiki/Density,Physical quantities
Displacement (fluid),https://en.wikipedia.org/wiki/Displacement_(fluid),Physical quantities
Distance measures (cosmology),https://en.wikipedia.org/wiki/Distance_measures_(cosmology),Physical quantities
Distance modulus,https://en.wikipedia.org/wiki/Distance_modulus,Physical quantities
Dust resistant,https://en.wikipedia.org/wiki/Dust_resistant,Physical quantities
Dynamic modulus,https://en.wikipedia.org/wiki/Dynamic_modulus,Physical quantities
Effective dose (radiation),https://en.wikipedia.org/wiki/Effective_dose_(radiation),Physical quantities
Effective radius,https://en.wikipedia.org/wiki/Effective_radius,Physical quantities
Elastance,https://en.wikipedia.org/wiki/Elastance,Physical quantities
Electric charge,https://en.wikipedia.org/wiki/Electric_charge,Physical quantities
Electric field,https://en.wikipedia.org/wiki/Electric_field,Physical quantities
Electric flux,https://en.wikipedia.org/wiki/Electric_flux,Physical quantities
Electric potential,https://en.wikipedia.org/wiki/Electric_potential,Physical quantities
Electric susceptibility,https://en.wikipedia.org/wiki/Electric_susceptibility,Physical quantities
Electrical measurements,https://en.wikipedia.org/wiki/Electrical_measurements,Physical quantities
Electrical mobility,https://en.wikipedia.org/wiki/Electrical_mobility,Physical quantities
Electrical resistance,https://en.wikipedia.org/wiki/Electrical_resistance,Physical quantities
Electrical resistance and conductance,https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance,Physical quantities
Electrical resistivity and conductivity,https://en.wikipedia.org/wiki/Electrical_resistivity_and_conductivity,Physical quantities
Electrochemical gradient,https://en.wikipedia.org/wiki/Electrochemical_gradient,Physical quantities
Electron mobility,https://en.wikipedia.org/wiki/Electron_mobility,Physical quantities
Emissivity,https://en.wikipedia.org/wiki/Emissivity,Physical quantities
Energy flux,https://en.wikipedia.org/wiki/Energy_flux,Physical quantities
Enthalpy,https://en.wikipedia.org/wiki/Enthalpy,Physical quantities
Equivalent dose,https://en.wikipedia.org/wiki/Equivalent_dose,Physical quantities
Etherington's reciprocity theorem,https://en.wikipedia.org/wiki/Etherington%27s_reciprocity_theorem,Physical quantities
Excess molar quantity,https://en.wikipedia.org/wiki/Excess_molar_quantity,Physical quantities
Extracellular field potential,https://en.wikipedia.org/wiki/Extracellular_field_potential,Physical quantities
Fermi acceleration,https://en.wikipedia.org/wiki/Fermi_acceleration,Physical quantities
Field strength,https://en.wikipedia.org/wiki/Field_strength,Physical quantities
Film speed,https://en.wikipedia.org/wiki/Film_speed,Physical quantities
Fluence response,https://en.wikipedia.org/wiki/Fluence_response,Physical quantities
Flux,https://en.wikipedia.org/wiki/Flux,Physical quantities
Force,https://en.wikipedia.org/wiki/Force,Physical quantities
Frequency,https://en.wikipedia.org/wiki/Frequency,Physical quantities
Fuel efficiency,https://en.wikipedia.org/wiki/Fuel_efficiency,Physical quantities
Ground pressure,https://en.wikipedia.org/wiki/Ground_pressure,Physical quantities
Group velocity,https://en.wikipedia.org/wiki/Group_velocity,Physical quantities
Heat capacity,https://en.wikipedia.org/wiki/Heat_capacity,Physical quantities
Heat capacity rate,https://en.wikipedia.org/wiki/Heat_capacity_rate,Physical quantities
Heat capacity ratio,https://en.wikipedia.org/wiki/Heat_capacity_ratio,Physical quantities
Huber's equation,https://en.wikipedia.org/wiki/Huber%27s_equation,Physical quantities
Humidity,https://en.wikipedia.org/wiki/Humidity,Physical quantities
Critical relative humidity,https://en.wikipedia.org/wiki/Critical_relative_humidity,Physical quantities
Relative humidity,https://en.wikipedia.org/wiki/Relative_humidity,Physical quantities
Hypervelocity,https://en.wikipedia.org/wiki/Hypervelocity,Physical quantities
Illuminance,https://en.wikipedia.org/wiki/Illuminance,Physical quantities
Immittance,https://en.wikipedia.org/wiki/Immittance,Physical quantities
Electrical impedance,https://en.wikipedia.org/wiki/Electrical_impedance,Physical quantities
Characteristic impedance,https://en.wikipedia.org/wiki/Characteristic_impedance,Physical quantities
Impulse (physics),https://en.wikipedia.org/wiki/Impulse_(physics),Physical quantities
Inductance,https://en.wikipedia.org/wiki/Inductance,Physical quantities
Infinitesimal strain theory,https://en.wikipedia.org/wiki/Infinitesimal_strain_theory,Physical quantities
Intensity (physics),https://en.wikipedia.org/wiki/Intensity_(physics),Physical quantities
Intensive and extensive properties,https://en.wikipedia.org/wiki/Intensive_and_extensive_properties,Physical quantities
Ion transport number,https://en.wikipedia.org/wiki/Ion_transport_number,Physical quantities
Ionic strength,https://en.wikipedia.org/wiki/Ionic_strength,Physical quantities
Irradiance,https://en.wikipedia.org/wiki/Irradiance,Physical quantities
Jerk (physics),https://en.wikipedia.org/wiki/Jerk_(physics),Physical quantities
Jounce,https://en.wikipedia.org/wiki/Jounce,Physical quantities
Length,https://en.wikipedia.org/wiki/Length,Physical quantities
List of electromagnetism equations,https://en.wikipedia.org/wiki/List_of_electromagnetism_equations,Physical quantities
List of equations in fluid mechanics,https://en.wikipedia.org/wiki/List_of_equations_in_fluid_mechanics,Physical quantities
List of equations in gravitation,https://en.wikipedia.org/wiki/List_of_equations_in_gravitation,Physical quantities
List of equations in nuclear and particle physics,https://en.wikipedia.org/wiki/List_of_equations_in_nuclear_and_particle_physics,Physical quantities
List of equations in quantum mechanics,https://en.wikipedia.org/wiki/List_of_equations_in_quantum_mechanics,Physical quantities
List of equations in wave theory,https://en.wikipedia.org/wiki/List_of_equations_in_wave_theory,Physical quantities
List of materials properties,https://en.wikipedia.org/wiki/List_of_materials_properties,Physical quantities
List of moments of inertia,https://en.wikipedia.org/wiki/List_of_moments_of_inertia,Physical quantities
List of photonics equations,https://en.wikipedia.org/wiki/List_of_photonics_equations,Physical quantities
Luminance,https://en.wikipedia.org/wiki/Luminance,Physical quantities
Luminosity,https://en.wikipedia.org/wiki/Luminosity,Physical quantities
Luminosity distance,https://en.wikipedia.org/wiki/Luminosity_distance,Physical quantities
Luminosity function,https://en.wikipedia.org/wiki/Luminosity_function,Physical quantities
Luminous efficacy,https://en.wikipedia.org/wiki/Luminous_efficacy,Physical quantities
Luminous energy,https://en.wikipedia.org/wiki/Luminous_energy,Physical quantities
Luminous flux,https://en.wikipedia.org/wiki/Luminous_flux,Physical quantities
Luminous intensity,https://en.wikipedia.org/wiki/Luminous_intensity,Physical quantities
Magnetic braking,https://en.wikipedia.org/wiki/Magnetic_braking,Physical quantities
Magnetic field,https://en.wikipedia.org/wiki/Magnetic_field,Physical quantities
Magnetic flux,https://en.wikipedia.org/wiki/Magnetic_flux,Physical quantities
Magnetic helicity,https://en.wikipedia.org/wiki/Magnetic_helicity,Physical quantities
Magnetic hysteresis,https://en.wikipedia.org/wiki/Magnetic_hysteresis,Physical quantities
Magnetic moment,https://en.wikipedia.org/wiki/Magnetic_moment,Physical quantities
Magnetic susceptibility,https://en.wikipedia.org/wiki/Magnetic_susceptibility,Physical quantities
Magnetomotive force,https://en.wikipedia.org/wiki/Magnetomotive_force,Physical quantities
Mass,https://en.wikipedia.org/wiki/Mass,Physical quantities
Mass attenuation coefficient,https://en.wikipedia.org/wiki/Mass_attenuation_coefficient,Physical quantities
Mass flux,https://en.wikipedia.org/wiki/Mass_flux,Physical quantities
Maximum density,https://en.wikipedia.org/wiki/Maximum_density,Physical quantities
Measured quantity,https://en.wikipedia.org/wiki/Measured_quantity,Physical quantities
Mechanical impedance,https://en.wikipedia.org/wiki/Mechanical_impedance,Physical quantities
Mechanical load,https://en.wikipedia.org/wiki/Mechanical_load,Physical quantities
Memcapacitor,https://en.wikipedia.org/wiki/Memcapacitor,Physical quantities
Memductance,https://en.wikipedia.org/wiki/Memductance,Physical quantities
Meminductor,https://en.wikipedia.org/wiki/Meminductor,Physical quantities
Memristance,https://en.wikipedia.org/wiki/Memristance,Physical quantities
Molar volume,https://en.wikipedia.org/wiki/Molar_volume,Physical quantities
Molecular property,https://en.wikipedia.org/wiki/Molecular_property,Physical quantities
Moment (physics),https://en.wikipedia.org/wiki/Moment_(physics),Physical quantities
Moment of inertia,https://en.wikipedia.org/wiki/Moment_of_inertia,Physical quantities
Momentum,https://en.wikipedia.org/wiki/Momentum,Physical quantities
Negative resistance,https://en.wikipedia.org/wiki/Negative_resistance,Physical quantities
Neutron magnetic moment,https://en.wikipedia.org/wiki/Neutron_magnetic_moment,Physical quantities
Noise-equivalent flux density,https://en.wikipedia.org/wiki/Noise-equivalent_flux_density,Physical quantities
Noise-equivalent target,https://en.wikipedia.org/wiki/Noise-equivalent_target,Physical quantities
Notch tensile strength,https://en.wikipedia.org/wiki/Notch_tensile_strength,Physical quantities
Number density,https://en.wikipedia.org/wiki/Number_density,Physical quantities
Ohm metre,https://en.wikipedia.org/wiki/Ohm_metre,Physical quantities
Orders of magnitude (density),https://en.wikipedia.org/wiki/Orders_of_magnitude_(density),Physical quantities
Orders of magnitude (speed),https://en.wikipedia.org/wiki/Orders_of_magnitude_(speed),Physical quantities
Particle displacement,https://en.wikipedia.org/wiki/Particle_displacement,Physical quantities
Particle number,https://en.wikipedia.org/wiki/Particle_number,Physical quantities
Particle velocity,https://en.wikipedia.org/wiki/Particle_velocity,Physical quantities
Permeability (electromagnetism),https://en.wikipedia.org/wiki/Permeability_(electromagnetism),Physical quantities
Permeation,https://en.wikipedia.org/wiki/Permeation,Physical quantities
Permittivity,https://en.wikipedia.org/wiki/Permittivity,Physical quantities
Persistence length,https://en.wikipedia.org/wiki/Persistence_length,Physical quantities
Phase (waves),https://en.wikipedia.org/wiki/Phase_(waves),Physical quantities
Physical coefficient,https://en.wikipedia.org/wiki/Physical_coefficient,Physical quantities
Physical property,https://en.wikipedia.org/wiki/Physical_property,Physical quantities
Pinning points,https://en.wikipedia.org/wiki/Pinning_points,Physical quantities
Plastic crystal,https://en.wikipedia.org/wiki/Plastic_crystal,Physical quantities
Poisson's ratio,https://en.wikipedia.org/wiki/Poisson%27s_ratio,Physical quantities
Pop (physics),https://en.wikipedia.org/wiki/Pop_(physics),Physical quantities
Propagation constant,https://en.wikipedia.org/wiki/Propagation_constant,Physical quantities
Quality (physics),https://en.wikipedia.org/wiki/Quality_(physics),Physical quantities
Quantum efficiency,https://en.wikipedia.org/wiki/Quantum_efficiency,Physical quantities
Quartz crystal microbalance with dissipation monitoring,https://en.wikipedia.org/wiki/Quartz_crystal_microbalance_with_dissipation_monitoring,Physical quantities
Radiance,https://en.wikipedia.org/wiki/Radiance,Physical quantities
Radiant energy density,https://en.wikipedia.org/wiki/Radiant_energy_density,Physical quantities
Radiant exitance,https://en.wikipedia.org/wiki/Radiant_exitance,Physical quantities
Radiant exposure,https://en.wikipedia.org/wiki/Radiant_exposure,Physical quantities
Radiant flux,https://en.wikipedia.org/wiki/Radiant_flux,Physical quantities
Radiant intensity,https://en.wikipedia.org/wiki/Radiant_intensity,Physical quantities
Radiative flux,https://en.wikipedia.org/wiki/Radiative_flux,Physical quantities
Radiosity (radiometry),https://en.wikipedia.org/wiki/Radiosity_(radiometry),Physical quantities
Rate of penetration,https://en.wikipedia.org/wiki/Rate_of_penetration,Physical quantities
Electrical reactance,https://en.wikipedia.org/wiki/Electrical_reactance,Physical quantities
Reciprocal length,https://en.wikipedia.org/wiki/Reciprocal_length,Physical quantities
Redshift,https://en.wikipedia.org/wiki/Redshift,Physical quantities
Reflectance,https://en.wikipedia.org/wiki/Reflectance,Physical quantities
Refractive index,https://en.wikipedia.org/wiki/Refractive_index,Physical quantities
Relative density,https://en.wikipedia.org/wiki/Relative_density,Physical quantities
Relative velocity,https://en.wikipedia.org/wiki/Relative_velocity,Physical quantities
Rotational speed,https://en.wikipedia.org/wiki/Rotational_speed,Physical quantities
Scale of temperature,https://en.wikipedia.org/wiki/Scale_of_temperature,Physical quantities
Second moment of area,https://en.wikipedia.org/wiki/Second_moment_of_area,Physical quantities
Signal-to-noise ratio (imaging),https://en.wikipedia.org/wiki/Signal-to-noise_ratio_(imaging),Physical quantities
Single-particle spectrum,https://en.wikipedia.org/wiki/Single-particle_spectrum,Physical quantities
Solubility,https://en.wikipedia.org/wiki/Solubility,Physical quantities
Sound energy,https://en.wikipedia.org/wiki/Sound_energy,Physical quantities
Sound energy density,https://en.wikipedia.org/wiki/Sound_energy_density,Physical quantities
Sound exposure,https://en.wikipedia.org/wiki/Sound_exposure,Physical quantities
Sound intensity,https://en.wikipedia.org/wiki/Sound_intensity,Physical quantities
Sound power,https://en.wikipedia.org/wiki/Sound_power,Physical quantities
Sound pressure,https://en.wikipedia.org/wiki/Sound_pressure,Physical quantities
Specific detectivity,https://en.wikipedia.org/wiki/Specific_detectivity,Physical quantities
Specific force,https://en.wikipedia.org/wiki/Specific_force,Physical quantities
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Physical systems
Physical system,https://en.wikipedia.org/wiki/Physical_system,Physical systems
Adiabatic invariant,https://en.wikipedia.org/wiki/Adiabatic_invariant,Physical systems
Analog models of gravity,https://en.wikipedia.org/wiki/Analog_models_of_gravity,Physical systems
Causal system,https://en.wikipedia.org/wiki/Causal_system,Physical systems
Classical physics,https://en.wikipedia.org/wiki/Classical_physics,Physical systems
Closed system,https://en.wikipedia.org/wiki/Closed_system,Physical systems
Conservation law,https://en.wikipedia.org/wiki/Conservation_law,Physical systems
Cyber-physical system,https://en.wikipedia.org/wiki/Cyber-physical_system,Physical systems
Energy system,https://en.wikipedia.org/wiki/Energy_system,Physical systems
Infrastructure,https://en.wikipedia.org/wiki/Infrastructure,Physical systems
Isolated system,https://en.wikipedia.org/wiki/Isolated_system,Physical systems
Mechanically isolated system,https://en.wikipedia.org/wiki/Mechanically_isolated_system,Physical systems
Newtonian limit,https://en.wikipedia.org/wiki/Newtonian_limit,Physical systems
Nonholonomic system,https://en.wikipedia.org/wiki/Nonholonomic_system,Physical systems
Open system (systems theory),https://en.wikipedia.org/wiki/Open_system_(systems_theory),Physical systems
Physical body,https://en.wikipedia.org/wiki/Physical_body,Physical systems
Physical symbol system,https://en.wikipedia.org/wiki/Physical_symbol_system,Physical systems
Sigma model,https://en.wikipedia.org/wiki/Sigma_model,Physical systems
Synchro-Ciné,https://en.wikipedia.org/wiki/Synchro-Cin%C3%A9,Physical systems
Thermally isolated system,https://en.wikipedia.org/wiki/Thermally_isolated_system,Physical systems
Unbounded system,https://en.wikipedia.org/wiki/Unbounded_system,Physical systems
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Standardized tests for Physics
